# DocID	SntID	English_Source	MT_Output	Segment-level_minimal_PE	Document-level_full_PE
101395	16236	A politician from Spain&apos;s ruling Socialist Party has been killed in Spain&apos;s northern Basque region, in the town of Mondragon.	スペインの与党社会党の政治家が、モンドラゴンの町のスペインの北バスク地域で殺害された。	スペインの与党社会党の政治家が、スペインの北バスク地方モンドラゴンの町で殺害された。	スペインの与党社会党の政治家が、スペインの北バスク地方にあるモンドラゴンの町で殺害された。
101395	16237	The shooting came just two days before general elections in Spain.	銃撃はスペインの総選挙のちょうど２日前に起こった。	その銃撃はスペインの総選挙のちょうど２日前に起こった。	銃撃はスペインの総選挙のわずか２日前に起こった。
101395	16238	Isaías Carrasco, 42, was shot outside his house in front of his wife and daughter and was taken to hospital, where he died of his wounds.	４２歳のイサウス・カラスコは、彼の妻と娘の前で彼の家の外で撃たれ、病院に運ばれ、そこで彼は傷で死亡した。	４２歳のイサイアス・カラスコは、自宅の外で妻と娘の前で撃たれ、病院に運ばれたが負傷により死亡した。	４２歳のイサイアス・カラスコは、自宅の外で妻と娘の前で撃たれ、病院に運ばれたが負傷により死亡した。
101395	16239	No group has claimed the attack but Spanish sources said the attack was probably carried out by the Basque separatist group, considered as a terrorist group by European Union and United States, ETA.	攻撃を主張したグループはないが、スペインの情報筋は、攻撃はおそらくヨーロッパ連合と米国のＥＴＡによってテロ集団と考えられているバスク分離主義グループによって実行されたと述べた。	攻撃を主張したグループはないが、スペインの情報筋は、攻撃はおそらく、ヨーロッパ連合と米国がテロ集団と考えているＥＴＡというバスク分離主義グループによって実行されたと述べた。	攻撃について犯行声明を出しているグループはないが、スペインの情報筋は、攻撃はおそらく、ヨーロッパ連合と米国がテロ集団と考えている、ＥＴＡというバスク分離主義グループによって実行されたものだろうと述べた。
101395	16240	Spain is in the final day of official campaigning ahead of Sunday&apos;s general election, in which the Socialist prime minister Rodriguez Zapatero is seeking a second term.	スペインは、社会党のロドリゲス・ザパテロ首相が第２期を求めている日曜日の総選挙に先立って、公式選挙運動の最終日にいる。	スペインは、社会党のロドリゲス・サパテロ首相が第２期を狙う日曜日の総選挙を前に、公式選挙運動期間の最終日となっている。	スペインは、社会党のロドリゲス・サパテロ首相が第２期を狙う日曜日の総選挙を前に、公式選挙運動期間の最終日となっている。
101395	16241	The conservative opposition Partido Popular has focused his campaign in the terrorism and separatism, especially that of the Basque.	保守的な野党であるＰａｒｔｉｄｏＰｏｐｕｌａｒは、彼のキャンペーンをテロリズムと分離主義、特にバスクのキャンペーンに集中させた。	保守的な野党である国民党は、選挙運動を特にバスクのテロリズムと分離主義に集中させた。	保守派野党の国民党は、選挙運動を特にバスクのテロリズムと分離主義に集中させた。
101395	16242	After the shooting the main parties announced a halt to campaigning.	銃撃の後、主要政党は選挙運動の中止を発表した。	銃撃の後、その主要政党は選挙運動の中止を発表した。	銃撃の後、これら主要政党は選挙運動の中止を発表した。
101395	16243	According to the polls, the two parties are neck and neck in the race for the election.	世論調査によると、２つの党は選挙のためのレースで首を絞めている。	世論調査によると、選挙戦ではこの２つの党が互角となっている。	世論調査によると、選挙戦ではこの２つの党は互角となっている。
10578	15342	A protester from the resident&apos;s association HACAN Clearskies today pushed a pie into the face of UK Transport Minister Alistair Darling.	居住者協会のＨＡＣＡＮクリアスキーの抗議者は今日、イギリスのアリスター・ダーリング運輸大臣の顔にパイを押し込んだ。	居住者協会のＨＡＣＡＮ ＣｌｅａｒＳｋｉｅｓの抗議者が今日、イギリスのアリスター・ダーリング運輸大臣の顔にパイを押し込んだ。	居住者協会のＨＡＣＡＮ ＣｌｅａｒＳｋｉｅｓの抗議者が今日、イギリスのアリスター・ダーリング運輸大臣の顔にパイをぶつけた。
10578	15343	Mr Darling was attending the launch of the pro-aviation industry pressure group Future Heathrow.	ダーリング氏は、航空業界寄りの圧力グループ、フューチャー・ヒースローの立ち上げに参加していた。	ダーリング氏は、航空業界寄りの圧力団体、Ｆｕｔｕｒｅ Ｈｅａｔｈｒｏｗの立ち上げに参加していた。	ダーリング氏は、航空業界寄りの圧力団体、Ｆｕｔｕｒｅ Ｈｅａｔｈｒｏｗの立ち上げに参加していた。
