# ID	DocID	SntID	ExID	Pre	Post	Q1	Q2	Q2-info	Q3
1	101395	16236	1	[空白]	にある	o	o	n/a	X15
2	101395	16237	1	その	[空白]	x	o	n/a	X16
3	101395	16237	2	ちょうど	わずか	o	o	n/a	X03
4	101395	16239	1	〜を主張した	〜について犯行声明を出している	o	o	n/a	X03
5	101395	16239	2	[空白]	、	o	o	n/a	X13
6	101395	16239	3	おそらく〜された	おそらく〜されたものだろう	o	o	n/a	X15
7	101395	16241	1	保守的な野党	保守派野党	o	o	n/a	X15
8	101395	16241	2	である	の	o	o	n/a	X15
9	101395	16242	1	その	これら	o	o	n/a	X03
10	101395	16243	1	が	は	x	o	n/a	X16
11	10578	15342	1	押し込んだ	ぶつけた	o	o	n/a	X04b
12	10578	15344	1	独立した支援団体	独立支援団体	o	o	n/a	X07
13	10578	15345	1	考え	考えており	o	o	n/a	X03
14	10578	15345	2	空港に第三滑走路を建設すること	空港の第三滑走路の建設	o	o	n/a	X04b
15	108775	17629	1	自身が〜で〜を得るであろうことを	〜における、自身の〜を	o	o	n/a	X15
16	108775	17629	2	大統領選挙	大統領選	o	o	n/a	X15
17	108775	17629	3	無競争の	対立候補のいない	o	o	n/a	X04b
18	108775	17631	1	開票結果	選挙結果	o	o	n/a	X04b
19	108775	17633	1	選挙を延期するよう	選挙の延期を	o	o	n/a	X04b
20	108775	17634	1	状況は存在しない	状況はない	o	o	n/a	X04b
21	108775	17634	2	[空白]	、	o	o	n/a	X13
22	110217	5960	1	モデル	蝋人形	x	o	n/a	X03
23	110217	5960	2	その歌手	本人	x	o	n/a	X16
24	110217	5962	1	忙しくて	忙しく	o	o	n/a	X15
25	110217	5963	1	報酬	ご褒美	o	x	スタイル	X14
26	110217	5964	1	その２４歳の問題のある歌手	問題の多いこの２４歳の歌手	o	o	n/a	X15
27	110682	10160	1	は	が	x	o	n/a	X16
28	110682	10161	1	[空白]	この	x	o	n/a	X01
29	110682	10161	2	〜を徹底的にチェックされ	〜について徹底的なチェックを受け	o	o	n/a	X04b
30	110682	10162	1	以来	以降	o	x	スタイル	X14
